16.5,2.5,-5.5
-15.3,-1.5,-5.5
-15.13954304388218,-1.4506549771932975,-5.498506518063904
-14.74610722790673,-1.3864098397710747,-5.540456327622167
-14.233990543192384,-1.376752589797993,-5.463931511666193
-13.1720731655145,-1.2644307203823484,-5.462189329432036
-11.81693515214307,-1.1027334587522521,-5.367491049511511
-10.77537172817766,-1.678332620724929,-4.5871725908250465
-8.962311788818143,-1.7138941705160995,-2.04858306199743
-3.620693107331344,-1.7367064682558482,1.9437647544483294
1.51985883828019,-0.0615083197981467,2.607299706041591
